City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Davis;California;26.3;33493;34163;67656;2176;13997;2.69;CA;Hispanic or Latino;9041
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;Asian;3501
Odessa;Texas;31.2;61119;57861;118980;5509;15845;2.92;TX;Black or African-American;7647
Olathe;Kansas;33.0;65046;69270;134316;6042;11913;2.969999999999999;KS;Hispanic or Latino;16131
Pharr;Texas;26.9;35242;41293;76535;1376;25532;3.67;TX;Black or African-American;204
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;White;110508
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;White;43516
Rochester;New York;31.4;100135;109673;209808;7288;17735;2.36;NY;White;105636
Davenport;Iowa;35.2;50123;52454;102577;7090;4065;2.39;IA;Black or African-American;12761
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;Asian;9685
Glendale;Arizona;34.4;116795;123319;240114;13241;44133;2.89;AZ;Hispanic or Latino;83711
San Juan;Puerto Rico;41.4;155408;186829;342237;;;;PR;American Indian and Alaska Native;4031
Madison;Wisconsin;30.7;122596;126360;248956;9707;30090;2.23;WI;Hispanic or Latino;19697
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;American Indian and Alaska Native;3645
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;Hispanic or Latino;11815
Albany;New York;32.8;47627;50825;98452;3643;11948;2.08;NY;Hispanic or Latino;9368
New Britain;Connecticut;33.4;37350;35459;72809;2219;15080;2.52;CT;Black or African-American;9873
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;American Indian and Alaska Native;664
Missouri City;Texas;37.2;34932;36846;71778;4274;18556;3.03;TX;Hispanic or Latino;10007
High Point;North Carolina;35.5;51751;58077;109828;5204;16315;2.65;NC;American Indian and Alaska Native;1181
Kissimmee;Florida;36.7;33283;35869;69152;2449;16879;3.01;FL;Black or African-American;6623
Youngs;Ohio;37.5;30758;33851;64609;3620;1058;2.22;OH;White;33031
Hammond;Indiana;36.0;38923;38687;77610;4144;9224;2.61;IN;Asian;1540
Elgin;Illinois;35.7;54852;56224;111076;4024;30167;2.969999999999999;IL;Black or African-American;7528
Boise;Idaho;34.9;110099;108181;218280;16004;13409;2.61;ID;White;204913
Passaic;New Jersey;30.4;36505;34577;71082;693;24174;3.56;NJ;Asian;3338
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;Hispanic or Latino;63175
East Orange;New Jersey;35.5;29995;34967;64962;1870;15164;2.85;NJ;White;3165
Houston;Texas;32.6;1149686;1148942;2298628;71898;696210;2.66;TX;White;1386389
Alameda;California;41.4;37747;40867;78614;4504;18841;2.52;CA;Asian;27984
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;White;92278
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;Hispanic or Latino;7545
Arlington Heights;Illinois;45.9;37627;39369;76996;3027;14630;2.38;IL;Hispanic or Latino;2742
Waco;Texas;29.3;63452;68890;132342;10716;14235;2.5700000000000003;TX;American Indian and Alaska Native;794
Oklahoma City;Oklahoma;34.1;309227;322036;631263;41843;80165;2.58;OK;Hispanic or Latino;117362
Scranton;Pennsylvania;38.5;37975;39137;77112;5059;8069;2.39;PA;Asian;4722
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;White;168057
South Gate;California;32.5;47758;48641;96399;724;40571;3.969999999999999;CA;Hispanic or Latino;91312
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;Hispanic or Latino;5139
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;Black or African-American;9425
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;Asian;38970
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;Black or African-American;465
Longview;Texas;36.8;40065;41525;81590;5512;8782;2.55;TX;American Indian and Alaska Native;253
Ellicott City;Maryland;42.4;34406;36526;70932;3856;17587;2.73;MD;Black or African-American;6089
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;Black or African-American;3222
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;Asian;1785
Mobile;Alabama;38.0;91275;103030;194305;11939;7234;2.4;AL;Hispanic or Latino;5229
Woodbury;Minnesota;37.7;31982;35868;67850;2732;9477;2.719999999999999;MN;White;56216
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;Asian;7039
Durham;North Carolina;33.2;121153;136445;257598;12528;38642;2.4;NC;Black or African-American;108088
League City;Texas;35.9;49354;48996;98350;6484;8361;2.719999999999999;TX;Hispanic or Latino;14868
Killeen;Texas;29.2;69442;71367;140809;24281;15769;2.719999999999999;TX;White;75823
Arvada;Colorado;41.0;54870;60165;115035;8930;4921;2.49;CO;Asian;2922
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Asian;4759
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;American Indian and Alaska Native;998
Saint Petersburg;Florida;41.8;123524;133564;257088;20247;28567;2.42;FL;White;179121
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;Hispanic or Latino;6149
Tulsa;Oklahoma;35.0;197437;205654;403091;24672;43751;2.37;OK;Black or African-American;72643
Waco;Texas;29.3;63452;68890;132342;10716;14235;2.5700000000000003;TX;Black or African-American;29883
Vallejo;California;37.8;58379;62890;121269;8103;30592;2.83;CA;American Indian and Alaska Native;1671
Clearwater;Florida;47.0;55225;57754;112979;10631;17686;2.4;FL;White;97195
Cranston;Rhode Island;39.9;38365;42712;81077;4702;10631;2.56;RI;Asian;5978
Redlands;California;36.2;33993;37035;71028;3445;8681;2.8200000000000003;CA;White;55241
Beaumont;Texas;31.6;57326;60784;118110;7584;10516;2.47;TX;American Indian and Alaska Native;908
Alafaya;Florida;33.5;39504;45760;85264;4176;15842;2.94;FL;White;63666
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;Asian;2828
Glendale;Arizona;34.4;116795;123319;240114;13241;44133;2.89;AZ;White;202539
Charlotte;North Carolina;34.3;396646;430475;827121;36046;128897;2.52;NC;Hispanic or Latino;113731
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.2800000000000002;AR;White;68830
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;American Indian and Alaska Native;3271
Boca Raton;Florida;47.3;44760;48466;93226;4367;21117;2.22;FL;Asian;2494
Richardson;Texas;35.5;54676;56151;110827;4797;29579;2.83;TX;White;76116
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;Asian;2719
Tampa;Florida;35.3;175517;193511;369028;20636;58795;2.47;FL;Hispanic or Latino;95154
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;Hispanic or Latino;1488
Aurora;Illinois;31.7;101964;101751;203715;4988;50980;3.3;IL;White;115903
Ellicott City;Maryland;42.4;34406;36526;70932;3856;17587;2.73;MD;Asian;22551
Beaverton;Oregon;35.6;47325;49252;96577;4645;18933;2.46;OR;Hispanic or Latino;15452
Virginia Beach;Virginia;35.4;222684;230061;452745;54995;38360;2.61;VA;White;324924
Stamford;Connecticut;35.4;64941;63936;128877;2269;44003;2.7;CT;Hispanic or Latino;33197
Hemet;California;36.8;38622;45251;83873;5613;13330;2.969999999999999;CA;Black or African-American;7650
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;Hispanic or Latino;3017
Passaic;New Jersey;30.4;36505;34577;71082;693;24174;3.56;NJ;Hispanic or Latino;53680
Bellevue;Washington;37.4;70763;69051;139814;5382;54654;2.43;WA;Asian;52223
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;Hispanic or Latino;23576
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;Black or African-American;3985
Hollywood;Florida;41.4;75358;74363;149721;6056;55158;2.65;FL;Black or African-American;34916
Wyoming;Michigan;32.8;35967;39310;75277;3447;8612;2.65;MI;White;58989
Palmdale;California;32.6;76361;81989;158350;6388;41974;3.54;CA;Asian;10981
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;White;68293
Thornton;Colorado;33.1;65482;67977;133459;7261;17949;2.969999999999999;CO;Hispanic or Latino;49241
Dearborn;Michigan;33.5;46482;48698;95180;3163;23920;3.04;MI;American Indian and Alaska Native;713
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;Hispanic or Latino;160697
Toledo;Ohio;36.1;135455;144323;279778;15286;9257;2.29;OH;Hispanic or Latino;23614
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;Black or African-American;109722
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;American Indian and Alaska Native;11146
Akron;Ohio;38.1;96886;100667;197553;12878;10024;2.24;OH;White;129192
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;White;36639
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;American Indian and Alaska Native;5305
Roseville;California;38.4;62591;67691;130282;8386;18161;2.719999999999999;CA;Black or African-American;4413
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;Hispanic or Latino;13065
South San Francisco;California;39.4;34177;33094;67271;1839;27528;3.33;CA;Asian;23008
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;Black or African-American;11592
Fort Myers;Florida;37.3;36850;37165;74015;4312;15365;2.45;FL;White;50169
Miami Gardens;Florida;34.9;50719;62480;113199;2327;33394;3.75;FL;Black or African-American;85300
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;Black or African-American;307
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;Asian;5232
Fresno;California;30.0;256130;263942;520072;18410;103453;3.12;CA;American Indian and Alaska Native;11380
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;Hispanic or Latino;39981
Danbury;Connecticut;37.3;43435;41227;84662;3752;25675;2.74;CT;Hispanic or Latino;25145
Meridian;Idaho;38.0;43353;47400;90753;5640;8110;2.54;ID;Asian;2693
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;Asian;1437
Austin;Texas;32.7;475718;456122;931840;37414;181686;2.5;TX;American Indian and Alaska Native;10890
Huntington Beach;California;41.6;99967;101960;201927;10454;35368;2.67;CA;Hispanic or Latino;42303
Dayton;Ohio;32.8;66631;73966;140597;8465;7381;2.26;OH;Asian;1885
Pleasanton;California;41.3;36662;42857;79519;2424;23208;2.87;CA;Black or African-American;1919
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;Asian;28132
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;American Indian and Alaska Native;2656
Santa Rosa;California;37.9;86840;88149;174989;9101;33015;2.7;CA;White;138506
Norwalk;California;35.0;53125;54020;107145;3027;39396;3.88;CA;Hispanic or Latino;76020
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;Black or African-American;3332
Lynn;Massachusetts;34.8;44598;47861;92459;3093;29899;2.81;MA;American Indian and Alaska Native;1176
Ann Arbor;Michigan;28.1;58789;58281;117070;3614;20717;2.17;MI;American Indian and Alaska Native;1935
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;White;374900
Duluth;Minnesota;34.7;41271;44855;86126;5015;2258;2.25;MN;American Indian and Alaska Native;1894
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;White;102312
Warren;Michigan;43.2;64063;71293;135356;7806;18822;2.45;MI;Asian;12156
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;White;149859
Olathe;Kansas;33.0;65046;69270;134316;6042;11913;2.969999999999999;KS;American Indian and Alaska Native;1872
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;Hispanic or Latino;25764
San Diego;California;34.5;693826;701081;1394907;92489;373842;2.73;CA;Asian;267222
Long Beach;California;34.6;238159;236013;474172;17463;127764;2.7800000000000002;CA;White;277962
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;American Indian and Alaska Native;767
Shawnee;Kansas;40.1;32313;32745;65058;3575;4136;2.64;KS;Asian;3093
South Gate;California;32.5;47758;48641;96399;724;40571;3.969999999999999;CA;White;55444
Centennial;Colorado;42.4;53222;56504;109726;7226;9501;2.66;CO;Black or African-American;4005
Lake Forest;California;40.3;41515;40982;82497;3748;20784;2.76;CA;White;59846
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;White;1240092
Chandler;Arizona;35.6;128885;131948;260833;15870;38721;2.7800000000000002;AZ;American Indian and Alaska Native;6601
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;Hispanic or Latino;39271
Mission Viejo;California;44.9;48849;48314;97163;4713;17308;2.85;CA;White;81186
Port Saint Lucie;Florida;42.1;84069;95341;179410;12416;34003;2.91;FL;Black or African-American;32986
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;Black or African-American;2234
Longview;Texas;36.8;40065;41525;81590;5512;8782;2.55;TX;Black or African-American;19904
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;Asian;25140
Sacramento;California;33.7;237724;252991;490715;19698;112579;2.73;CA;White;268151
Bloomington;Minnesota;40.9;43318;43118;86436;6176;10728;2.3;MN;Hispanic or Latino;8021
Sunnyvale;California;35.7;79480;72280;151760;3900;71441;2.74;CA;Hispanic or Latino;25638
Santa Clara;California;35.2;63278;62938;126216;4426;52281;2.75;CA;Asian;58360
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;Asian;2688
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;American Indian and Alaska Native;613
The Woodlands;Texas;38.8;56083;63061;119144;8351;21188;2.93;TX;Black or African-American;6420
Pasadena;California;37.6;67712;74534;142246;4618;40779;2.63;CA;American Indian and Alaska Native;2161
Alameda;California;41.4;37747;40867;78614;4504;18841;2.52;CA;White;44232
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Black or African-American;256764
Ann Arbor;Michigan;28.1;58789;58281;117070;3614;20717;2.17;MI;Hispanic or Latino;5888
Concord;North Carolina;35.7;42732;44961;87693;4621;8847;2.719999999999999;NC;American Indian and Alaska Native;216
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;Black or African-American;11293
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;White;96067
Springdale;Arkansas;31.8;36840;43614;80454;3397;19969;3.04;AR;Black or African-American;1859
Anchorage;Alaska;32.2;152945;145750;298695;27492;33258;2.77;AK;American Indian and Alaska Native;36339
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Hispanic or Latino;45132
Gary;Indiana;38.1;35876;41478;77354;3952;1884;2.35;IN;Hispanic or Latino;6266
Eagan;Minnesota;36.8;31587;34701;66288;2699;8642;2.49;MN;Black or African-American;8032
Warwick;Rhode Island;42.6;39289;42409;81698;5799;5318;2.4;RI;Hispanic or Latino;4723
Yuma;Arizona;33.4;48298;45847;94145;7182;19326;2.64;AZ;Asian;1180
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;White;73361
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;American Indian and Alaska Native;1186
Sunrise Manor;Nevada;32.5;93505;99103;192608;10663;56530;3.25;NV;White;109960
Tuscaloosa;Alabama;29.1;47293;51045;98338;3647;4706;2.67;AL;Black or African-American;42331
Perris;California;26.9;41623;33336;74959;1321;23277;4.78;CA;Black or African-American;9393
Midland;Texas;32.1;66595;66355;132950;5753;17061;2.7800000000000002;TX;Black or African-American;10379
Temple;Texas;33.6;33512;38785;72297;7333;3968;2.59;TX;Asian;1781
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;American Indian and Alaska Native;11496
Newton;Massachusetts;42.3;41985;46824;88809;1814;21692;2.71;MA;White;69380
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;Black or African-American;11880
Tampa;Florida;35.3;175517;193511;369028;20636;58795;2.47;FL;Black or African-American;92156
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;American Indian and Alaska Native;656
Bellflower;California;33.4;38936;39498;78434;2154;24607;3.58;CA;Black or African-American;12839
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;American Indian and Alaska Native;8380
Irving;Texas;32.3;117189;119428;236617;6207;86756;2.7800000000000002;TX;White;132779
Hollywood;Florida;41.4;75358;74363;149721;6056;55158;2.65;FL;American Indian and Alaska Native;1010
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;American Indian and Alaska Native;5117
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;American Indian and Alaska Native;2109
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;Asian;1963
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;Hispanic or Latino;5449
